series_id        	year	period	       value	footnote_codes
CUSR0000SA0      	1947	M01	       21.48	
CUSR0000SA0      	1947	M02	       21.62	
CUSR0000SA0      	1947	M03	       22.00	
CUSR0000SA0      	1947	M04	       22.00	
CUSR0000SA0      	1947	M05	       21.95	
CUSR0000SA0      	1947	M06	       22.08	
CUSR0000SA0      	1947	M07	       22.23	
CUSR0000SA0      	1947	M08	       22.40	
CUSR0000SA0      	1947	M09	       22.84	
CUSR0000SA0      	1947	M10	       22.91	
CUSR0000SA0      	1947	M11	       23.06	
CUSR0000SA0      	1947	M12	       23.41	
CUSR0000SA0      	1948	M01	       23.68	
CUSR0000SA0      	1948	M02	       23.67	
CUSR0000SA0      	1948	M03	       23.50	
CUSR0000SA0      	1948	M04	       23.82	
CUSR0000SA0      	1948	M05	       24.01	
CUSR0000SA0      	1948	M06	       24.15	
CUSR0000SA0      	1948	M07	       24.40	
CUSR0000SA0      	1948	M08	       24.43	
CUSR0000SA0      	1948	M09	       24.36	
CUSR0000SA0      	1948	M10	       24.31	
CUSR0000SA0      	1948	M11	       24.16	
CUSR0000SA0      	1948	M12	       24.05	
CUSR0000SA0      	1949	M01	       24.01	
CUSR0000SA0      	1949	M02	       23.91	
CUSR0000SA0      	1949	M03	       23.91	
CUSR0000SA0      	1949	M04	       23.92	
CUSR0000SA0      	1949	M05	       23.91	
CUSR0000SA0      	1949	M06	       23.92	
CUSR0000SA0      	1949	M07	       23.70	
CUSR0000SA0      	1949	M08	       23.70	
CUSR0000SA0      	1949	M09	       23.75	
CUSR0000SA0      	1949	M10	       23.67	
CUSR0000SA0      	1949	M11	       23.70	
CUSR0000SA0      	1949	M12	       23.61	
CUSR0000SA0      	1950	M01	       23.51	
CUSR0000SA0      	1950	M02	       23.61	
CUSR0000SA0      	1950	M03	       23.64	
CUSR0000SA0      	1950	M04	       23.65	
CUSR0000SA0      	1950	M05	       23.77	
CUSR0000SA0      	1950	M06	       23.88	
CUSR0000SA0      	1950	M07	       24.07	
CUSR0000SA0      	1950	M08	       24.20	
CUSR0000SA0      	1950	M09	       24.34	
CUSR0000SA0      	1950	M10	       24.50	
CUSR0000SA0      	1950	M11	       24.60	
CUSR0000SA0      	1950	M12	       24.98	
CUSR0000SA0      	1951	M01	       25.38	
CUSR0000SA0      	1951	M02	       25.83	
CUSR0000SA0      	1951	M03	       25.88	
CUSR0000SA0      	1951	M04	       25.92	
CUSR0000SA0      	1951	M05	       25.99	
CUSR0000SA0      	1951	M06	       25.93	
CUSR0000SA0      	1951	M07	       25.91	
CUSR0000SA0      	1951	M08	       25.86	
CUSR0000SA0      	1951	M09	       26.03	
CUSR0000SA0      	1951	M10	       26.16	
CUSR0000SA0      	1951	M11	       26.32	
CUSR0000SA0      	1951	M12	       26.47	
CUSR0000SA0      	1952	M01	       26.45	
CUSR0000SA0      	1952	M02	       26.41	
CUSR0000SA0      	1952	M03	       26.39	
CUSR0000SA0      	1952	M04	       26.46	
CUSR0000SA0      	1952	M05	       26.47	
CUSR0000SA0      	1952	M06	       26.53	
CUSR0000SA0      	1952	M07	       26.68	
CUSR0000SA0      	1952	M08	       26.69	
CUSR0000SA0      	1952	M09	       26.63	
CUSR0000SA0      	1952	M10	       26.69	
CUSR0000SA0      	1952	M11	       26.69	
CUSR0000SA0      	1952	M12	       26.71	
CUSR0000SA0      	1953	M01	       26.64	
CUSR0000SA0      	1953	M02	       26.59	
CUSR0000SA0      	1953	M03	       26.63	
CUSR0000SA0      	1953	M04	       26.69	
CUSR0000SA0      	1953	M05	       26.70	
CUSR0000SA0      	1953	M06	       26.77	
CUSR0000SA0      	1953	M07	       26.79	
CUSR0000SA0      	1953	M08	       26.85	
CUSR0000SA0      	1953	M09	       26.89	
CUSR0000SA0      	1953	M10	       26.95	
CUSR0000SA0      	1953	M11	       26.85	
CUSR0000SA0      	1953	M12	       26.87	
CUSR0000SA0      	1954	M01	       26.94	
CUSR0000SA0      	1954	M02	       26.99	
CUSR0000SA0      	1954	M03	       26.93	
CUSR0000SA0      	1954	M04	       26.86	
CUSR0000SA0      	1954	M05	       26.93	
CUSR0000SA0      	1954	M06	       26.94	
CUSR0000SA0      	1954	M07	       26.86	
CUSR0000SA0      	1954	M08	       26.85	
CUSR0000SA0      	1954	M09	       26.81	
CUSR0000SA0      	1954	M10	       26.72	
CUSR0000SA0      	1954	M11	       26.78	
CUSR0000SA0      	1954	M12	       26.77	
CUSR0000SA0      	1955	M01	       26.77	
CUSR0000SA0      	1955	M02	       26.82	
CUSR0000SA0      	1955	M03	       26.79	
CUSR0000SA0      	1955	M04	       26.79	
CUSR0000SA0      	1955	M05	       26.77	
CUSR0000SA0      	1955	M06	       26.71	
CUSR0000SA0      	1955	M07	       26.76	
CUSR0000SA0      	1955	M08	       26.72	
CUSR0000SA0      	1955	M09	       26.85	
CUSR0000SA0      	1955	M10	       26.82	
CUSR0000SA0      	1955	M11	       26.88	
CUSR0000SA0      	1955	M12	       26.87	
CUSR0000SA0      	1956	M01	       26.83	
CUSR0000SA0      	1956	M02	       26.86	
CUSR0000SA0      	1956	M03	       26.89	
CUSR0000SA0      	1956	M04	       26.93	
CUSR0000SA0      	1956	M05	       27.03	
CUSR0000SA0      	1956	M06	       27.15	
CUSR0000SA0      	1956	M07	       27.29	
CUSR0000SA0      	1956	M08	       27.31	
CUSR0000SA0      	1956	M09	       27.35	
CUSR0000SA0      	1956	M10	       27.51	
CUSR0000SA0      	1956	M11	       27.51	
CUSR0000SA0      	1956	M12	       27.63	
CUSR0000SA0      	1957	M01	       27.67	
CUSR0000SA0      	1957	M02	       27.80	
CUSR0000SA0      	1957	M03	       27.86	
CUSR0000SA0      	1957	M04	       27.93	
CUSR0000SA0      	1957	M05	       28.00	
CUSR0000SA0      	1957	M06	       28.11	
CUSR0000SA0      	1957	M07	       28.19	
CUSR0000SA0      	1957	M08	       28.28	
CUSR0000SA0      	1957	M09	       28.32	
CUSR0000SA0      	1957	M10	       28.32	
CUSR0000SA0      	1957	M11	       28.41	
CUSR0000SA0      	1957	M12	       28.47	
CUSR0000SA0      	1958	M01	       28.64	
CUSR0000SA0      	1958	M02	       28.70	
CUSR0000SA0      	1958	M03	       28.87	
CUSR0000SA0      	1958	M04	       28.94	
CUSR0000SA0      	1958	M05	       28.94	
CUSR0000SA0      	1958	M06	       28.91	
CUSR0000SA0      	1958	M07	       28.89	
CUSR0000SA0      	1958	M08	       28.94	
CUSR0000SA0      	1958	M09	       28.91	
CUSR0000SA0      	1958	M10	       28.91	
CUSR0000SA0      	1958	M11	       28.95	
CUSR0000SA0      	1958	M12	       28.97	
CUSR0000SA0      	1959	M01	       29.01	
CUSR0000SA0      	1959	M02	       29.00	
CUSR0000SA0      	1959	M03	       28.97	
CUSR0000SA0      	1959	M04	       28.98	
CUSR0000SA0      	1959	M05	       29.04	
CUSR0000SA0      	1959	M06	       29.11	
CUSR0000SA0      	1959	M07	       29.15	
CUSR0000SA0      	1959	M08	       29.18	
CUSR0000SA0      	1959	M09	       29.25	
CUSR0000SA0      	1959	M10	       29.35	
CUSR0000SA0      	1959	M11	       29.35	
CUSR0000SA0      	1959	M12	       29.41	
CUSR0000SA0      	1960	M01	       29.37	
CUSR0000SA0      	1960	M02	       29.41	
CUSR0000SA0      	1960	M03	       29.41	
CUSR0000SA0      	1960	M04	       29.54	
CUSR0000SA0      	1960	M05	       29.57	
CUSR0000SA0      	1960	M06	       29.61	
CUSR0000SA0      	1960	M07	       29.55	
CUSR0000SA0      	1960	M08	       29.61	
CUSR0000SA0      	1960	M09	       29.61	
CUSR0000SA0      	1960	M10	       29.75	
CUSR0000SA0      	1960	M11	       29.78	
CUSR0000SA0      	1960	M12	       29.81	
CUSR0000SA0      	1961	M01	       29.84	
CUSR0000SA0      	1961	M02	       29.84	
CUSR0000SA0      	1961	M03	       29.84	
CUSR0000SA0      	1961	M04	       29.81	
CUSR0000SA0      	1961	M05	       29.84	
CUSR0000SA0      	1961	M06	       29.84	
CUSR0000SA0      	1961	M07	       29.92	
CUSR0000SA0      	1961	M08	       29.94	
CUSR0000SA0      	1961	M09	       29.98	
CUSR0000SA0      	1961	M10	       29.98	
CUSR0000SA0      	1961	M11	       29.98	
